ID;Score;Text
89;3;Chleb by≥ smaczny, ale opakowanie nie by≥o odpowiednio zabezpieczone i chleb by≥ trochÍ zgnieciony.
90;4;ChÍtnie zamÛwiÍ ponownie
91;1;Myúla≥em øe zjad≥em kamieÒ! Nigdy wiÍcej nie kupiÍ w tym sklepie!!!
92;1;Rozwalony karton! ØENADA!!!!
93;4;Dobry
94;4;Spoko
95;3;ok
96;5;Szybka dostawa
97;4;ok, choø trochÍ zgnieciona paczka
98;4;Jak na swojπ cenÍ to chleb nawet smaczny
99;3;W mojej opinii chleb trochÍ za drogi. SzczegÛlnie øe w úrodku znalaz≥em orzechy.
100;4;Ok
